title,published_time,url,salary_from,salary_to,description,requirements
Упаковщик,09:32:57 01.06.2023,https://hh.ru/vacancy/81392567,310000,0,"сбор товара по накладной, складирование на паллет и отвоз к месту разгрузки. Для вас действуют акции.",
Уборщик (уборщица) Салон Самолёта,07:09:32 19.05.2023,https://hh.ru/vacancy/80685712,290000,290000,Оформление и заселение в день приезда! Обязанности: Уборка салона самолёта.,
